datetime,month,day,hour,LocationID,pickups,year,week,dayofweek,isweekend,isholiday,Temperature
2017-01-01 14:00:00,1,1,14,41,67.0,2017,52,6,1,0,47
2017-01-01 14:00:00,1,1,14,42,40.0,2017,52,6,1,0,47
2017-01-01 14:00:00,1,1,14,43,318.0,2017,52,6,1,0,47
2017-01-01 15:00:00,1,1,15,4,33.0,2017,52,6,1,0,47
2017-01-01 15:00:00,1,1,15,12,33.0,2017,52,6,1,0,47
2017-01-01 15:00:00,1,1,15,13,167.0,2017,52,6,1,0,47
2017-01-01 15:00:00,1,1,15,24,37.0,2017,52,6,1,0,47
2017-01-01 15:00:00,1,1,15,41,69.0,2017,52,6,1,0,47
2017-01-01 15:00:00,1,1,15,42,26.0,2017,52,6,1,0,47
2017-01-01 15:00:00,1,1,15,43,344.0,2017,52,6,1,0,47
2017-01-01 16:00:00,1,1,16,4,29.0,2017,52,6,1,0,46
2017-01-01 16:00:00,1,1,16,12,16.0,2017,52,6,1,0,46
2017-01-01 16:00:00,1,1,16,13,192.0,2017,52,6,1,0,46
2017-01-01 16:00:00,1,1,16,24,50.0,2017,52,6,1,0,46
2017-01-01 16:00:00,1,1,16,41,70.0,2017,52,6,1,0,46
2017-01-01 16:00:00,1,1,16,42,27.0,2017,52,6,1,0,46
2017-01-01 16:00:00,1,1,16,43,284.0,2017,52,6,1,0,46
2017-01-01 17:00:00,1,1,17,4,28.0,2017,52,6,1,0,45
2017-01-01 17:00:00,1,1,17,12,9.0,2017,52,6,1,0,45
2017-01-01 17:00:00,1,1,17,13,144.0,2017,52,6,1,0,45
2017-01-01 17:00:00,1,1,17,24,30.0,2017,52,6,1,0,45
2017-01-01 17:00:00,1,1,17,41,66.0,2017,52,6,1,0,45
2017-01-01 17:00:00,1,1,17,42,41.0,2017,52,6,1,0,45
2017-01-01 17:00:00,1,1,17,43,164.0,2017,52,6,1,0,45
2017-01-01 18:00:00,1,1,18,4,34.0,2017,52,6,1,0,43
2017-01-01 18:00:00,1,1,18,12,6.0,2017,52,6,1,0,43
2017-01-01 18:00:00,1,1,18,13,122.0,2017,52,6,1,0,43
2017-01-01 18:00:00,1,1,18,24,42.0,2017,52,6,1,0,43
2017-01-01 18:00:00,1,1,18,41,49.0,2017,52,6,1,0,43
2017-01-01 18:00:00,1,1,18,42,23.0,2017,52,6,1,0,43
