datetime,month,day,hour,LocationID,sales,year,week,dayofweek,isweekend,isholiday,Temperature
01-01-2019 19:00,1,1,19,12,1,2019,1,1,0,0,43
01-01-2019 19:00,1,1,19,13,70,2019,1,1,0,0,43
01-01-2019 19:00,1,1,19,24,17,2019,1,1,0,0,43
01-01-2019 19:00,1,1,19,41,46,2019,1,1,0,0,43
01-01-2019 19:00,1,1,19,42,10,2019,1,1,0,0,43
01-01-2019 19:00,1,1,19,43,90,2019,1,1,0,0,43
01-01-2019 20:00,1,1,20,4,7,2019,1,1,0,0,43
01-01-2019 20:00,1,1,20,12,2,2019,1,1,0,0,43
01-01-2019 20:00,1,1,20,13,28,2019,1,1,0,0,43
01-01-2019 20:00,1,1,20,24,18,2019,1,1,0,0,43
01-01-2019 20:00,1,1,20,41,31,2019,1,1,0,0,43
01-01-2019 20:00,1,1,20,42,16,2019,1,1,0,0,43
01-01-2019 20:00,1,1,20,43,57,2019,1,1,0,0,43
01-01-2019 21:00,1,1,21,4,7,2019,1,1,0,0,42
01-01-2019 21:00,1,1,21,12,10,2019,1,1,0,0,42
01-01-2019 21:00,1,1,21,13,44,2019,1,1,0,0,42
01-01-2019 21:00,1,1,21,24,21,2019,1,1,0,0,42
01-01-2019 21:00,1,1,21,41,25,2019,1,1,0,0,42
01-01-2019 21:00,1,1,21,42,13,2019,1,1,0,0,42
01-01-2019 21:00,1,1,21,43,43,2019,1,1,0,0,42
01-01-2019 22:00,1,1,22,4,6,2019,1,1,0,0,41
01-01-2019 22:00,1,1,22,12,2,2019,1,1,0,0,41
01-01-2019 22:00,1,1,22,13,19,2019,1,1,0,0,41
01-01-2019 22:00,1,1,22,24,19,2019,1,1,0,0,41
01-01-2019 22:00,1,1,22,41,29,2019,1,1,0,0,41
01-01-2019 22:00,1,1,22,42,13,2019,1,1,0,0,41
01-01-2019 22:00,1,1,22,43,48,2019,1,1,0,0,41
01-01-2019 23:00,1,1,23,4,10,2019,1,1,0,0,40
01-01-2019 23:00,1,1,23,12,0,2019,1,1,0,0,40
01-01-2019 23:00,1,1,23,13,11,2019,1,1,0,0,40
01-01-2019 23:00,1,1,23,24,11,2019,1,1,0,0,40
01-01-2019 23:00,1,1,23,41,27,2019,1,1,0,0,40
01-01-2019 23:00,1,1,23,42,13,2019,1,1,0,0,40
01-01-2019 23:00,1,1,23,43,18,2019,1,1,0,0,40
02-01-2019 00:00,1,2,0,4,8,2019,1,2,0,0,38
02-01-2019 00:00,1,2,0,12,1,2019,1,2,0,0,38
02-01-2019 00:00,1,2,0,13,10,2019,1,2,0,0,38
02-01-2019 00:00,1,2,0,24,5,2019,1,2,0,0,38
02-01-2019 00:00,1,2,0,41,24,2019,1,2,0,0,38
02-01-2019 00:00,1,2,0,42,5,2019,1,2,0,0,38
02-01-2019 00:00,1,2,0,43,17,2019,1,2,0,0,38
02-01-2019 01:00,1,2,1,4,3,2019,1,2,0,0,38
02-01-2019 01:00,1,2,1,12,0,2019,1,2,0,0,38
02-01-2019 01:00,1,2,1,13,5,2019,1,2,0,0,38
02-01-2019 01:00,1,2,1,24,3,2019,1,2,0,0,38
02-01-2019 01:00,1,2,1,41,6,2019,1,2,0,0,38
02-01-2019 01:00,1,2,1,42,6,2019,1,2,0,0,38
02-01-2019 01:00,1,2,1,43,5,2019,1,2,0,0,38
02-01-2019 02:00,1,2,2,4,0,2019,1,2,0,0,37
02-01-2019 02:00,1,2,2,12,0,2019,1,2,0,0,37
02-01-2019 02:00,1,2,2,13,1,2019,1,2,0,0,37
02-01-2019 02:00,1,2,2,24,1,2019,1,2,0,0,37
02-01-2019 02:00,1,2,2,41,2,2019,1,2,0,0,37
02-01-2019 02:00,1,2,2,42,2,2019,1,2,0,0,37
02-01-2019 02:00,1,2,2,43,2,2019,1,2,0,0,37
02-01-2019 03:00,1,2,3,4,5,2019,1,2,0,0,37
02-01-2019 03:00,1,2,3,12,0,2019,1,2,0,0,37
02-01-2019 03:00,1,2,3,13,1,2019,1,2,0,0,37
02-01-2019 03:00,1,2,3,24,2,2019,1,2,0,0,37
02-01-2019 03:00,1,2,3,41,3,2019,1,2,0,0,37
02-01-2019 03:00,1,2,3,42,5,2019,1,2,0,0,37
02-01-2019 03:00,1,2,3,43,3,2019,1,2,0,0,37
02-01-2019 04:00,1,2,4,4,0,2019,1,2,0,0,36
02-01-2019 04:00,1,2,4,12,0,2019,1,2,0,0,36
02-01-2019 04:00,1,2,4,13,4,2019,1,2,0,0,36
02-01-2019 04:00,1,2,4,24,3,2019,1,2,0,0,36
02-01-2019 04:00,1,2,4,41,3,2019,1,2,0,0,36
02-01-2019 04:00,1,2,4,42,4,2019,1,2,0,0,36
02-01-2019 04:00,1,2,4,43,8,2019,1,2,0,0,36
02-01-2019 05:00,1,2,5,4,3,2019,1,2,0,0,36
02-01-2019 05:00,1,2,5,12,0,2019,1,2,0,0,36
02-01-2019 05:00,1,2,5,13,14,2019,1,2,0,0,36
02-01-2019 05:00,1,2,5,24,8,2019,1,2,0,0,36
02-01-2019 05:00,1,2,5,41,11,2019,1,2,0,0,36
02-01-2019 05:00,1,2,5,42,12,2019,1,2,0,0,36
02-01-2019 05:00,1,2,5,43,14,2019,1,2,0,0,36
02-01-2019 06:00,1,2,6,4,11,2019,1,2,0,0,35
02-01-2019 06:00,1,2,6,12,1,2019,1,2,0,0,35
02-01-2019 06:00,1,2,6,13,29,2019,1,2,0,0,35
02-01-2019 06:00,1,2,6,24,21,2019,1,2,0,0,35
02-01-2019 06:00,1,2,6,41,32,2019,1,2,0,0,35
02-01-2019 06:00,1,2,6,42,18,2019,1,2,0,0,35
02-01-2019 06:00,1,2,6,43,44,2019,1,2,0,0,35
02-01-2019 07:00,1,2,7,4,16,2019,1,2,0,0,35
02-01-2019 07:00,1,2,7,12,1,2019,1,2,0,0,35
02-01-2019 07:00,1,2,7,13,80,2019,1,2,0,0,35
02-01-2019 07:00,1,2,7,24,42,2019,1,2,0,0,35
02-01-2019 07:00,1,2,7,41,55,2019,1,2,0,0,35
02-01-2019 07:00,1,2,7,42,40,2019,1,2,0,0,35
02-01-2019 07:00,1,2,7,43,91,2019,1,2,0,0,35
02-01-2019 08:00,1,2,8,4,25,2019,1,2,0,0,36
02-01-2019 08:00,1,2,8,12,3,2019,1,2,0,0,36
02-01-2019 08:00,1,2,8,13,140,2019,1,2,0,0,36
02-01-2019 08:00,1,2,8,24,56,2019,1,2,0,0,36
02-01-2019 08:00,1,2,8,41,58,2019,1,2,0,0,36
02-01-2019 08:00,1,2,8,42,35,2019,1,2,0,0,36
02-01-2019 08:00,1,2,8,43,108,2019,1,2,0,0,36
02-01-2019 09:00,1,2,9,4,23,2019,1,2,0,0,36
02-01-2019 09:00,1,2,9,12,1,2019,1,2,0,0,36
02-01-2019 09:00,1,2,9,13,120,2019,1,2,0,0,36
02-01-2019 09:00,1,2,9,24,38,2019,1,2,0,0,36
02-01-2019 09:00,1,2,9,41,33,2019,1,2,0,0,36
02-01-2019 09:00,1,2,9,42,16,2019,1,2,0,0,36
02-01-2019 09:00,1,2,9,43,157,2019,1,2,0,0,36
02-01-2019 10:00,1,2,10,4,18,2019,1,2,0,0,37
02-01-2019 10:00,1,2,10,12,4,2019,1,2,0,0,37
02-01-2019 10:00,1,2,10,13,81,2019,1,2,0,0,37
02-01-2019 10:00,1,2,10,24,37,2019,1,2,0,0,37
02-01-2019 10:00,1,2,10,41,28,2019,1,2,0,0,37
02-01-2019 10:00,1,2,10,42,12,2019,1,2,0,0,37
02-01-2019 10:00,1,2,10,43,178,2019,1,2,0,0,37
02-01-2019 11:00,1,2,11,4,13,2019,1,2,0,0,38
02-01-2019 11:00,1,2,11,12,2,2019,1,2,0,0,38
02-01-2019 11:00,1,2,11,13,94,2019,1,2,0,0,38
02-01-2019 11:00,1,2,11,24,33,2019,1,2,0,0,38
02-01-2019 11:00,1,2,11,41,32,2019,1,2,0,0,38
02-01-2019 11:00,1,2,11,42,14,2019,1,2,0,0,38
02-01-2019 11:00,1,2,11,43,205,2019,1,2,0,0,38
02-01-2019 12:00,1,2,12,4,15,2019,1,2,0,0,38
02-01-2019 12:00,1,2,12,12,9,2019,1,2,0,0,38
02-01-2019 12:00,1,2,12,13,106,2019,1,2,0,0,38
02-01-2019 12:00,1,2,12,24,31,2019,1,2,0,0,38
02-01-2019 12:00,1,2,12,41,23,2019,1,2,0,0,38
02-01-2019 12:00,1,2,12,42,7,2019,1,2,0,0,38
02-01-2019 12:00,1,2,12,43,279,2019,1,2,0,0,38
02-01-2019 13:00,1,2,13,4,13,2019,1,2,0,0,39
02-01-2019 13:00,1,2,13,12,13,2019,1,2,0,0,39
02-01-2019 13:00,1,2,13,13,102,2019,1,2,0,0,39
02-01-2019 13:00,1,2,13,24,23,2019,1,2,0,0,39
02-01-2019 13:00,1,2,13,41,36,2019,1,2,0,0,39
02-01-2019 13:00,1,2,13,42,9,2019,1,2,0,0,39
02-01-2019 13:00,1,2,13,43,322,2019,1,2,0,0,39
02-01-2019 14:00,1,2,14,4,8,2019,1,2,0,0,39
02-01-2019 14:00,1,2,14,12,21,2019,1,2,0,0,39
02-01-2019 14:00,1,2,14,13,101,2019,1,2,0,0,39
02-01-2019 14:00,1,2,14,24,33,2019,1,2,0,0,39
02-01-2019 14:00,1,2,14,41,28,2019,1,2,0,0,39
02-01-2019 14:00,1,2,14,42,21,2019,1,2,0,0,39
02-01-2019 14:00,1,2,14,43,322,2019,1,2,0,0,39
02-01-2019 15:00,1,2,15,4,8,2019,1,2,0,0,38
02-01-2019 15:00,1,2,15,12,22,2019,1,2,0,0,38
02-01-2019 15:00,1,2,15,13,110,2019,1,2,0,0,38
02-01-2019 15:00,1,2,15,24,33,2019,1,2,0,0,38
02-01-2019 15:00,1,2,15,41,32,2019,1,2,0,0,38
02-01-2019 15:00,1,2,15,42,20,2019,1,2,0,0,38
02-01-2019 15:00,1,2,15,43,270,2019,1,2,0,0,38
02-01-2019 16:00,1,2,16,4,17,2019,1,2,0,0,37
02-01-2019 16:00,1,2,16,12,20,2019,1,2,0,0,37
02-01-2019 16:00,1,2,16,13,99,2019,1,2,0,0,37
02-01-2019 16:00,1,2,16,24,30,2019,1,2,0,0,37
02-01-2019 16:00,1,2,16,41,36,2019,1,2,0,0,37
